version,n,workers,depth,time,solutions
sequential,12,1,0,0.003224,14200
openmp_partial,12,2,3,0.001863,14200
openmp_tasks,12,2,3,0.002044,14200
openmp_partial,12,4,3,0.001095,14200
openmp_tasks,12,4,3,0.001185,14200
openmp_partial,12,8,3,0.000678,14200
openmp_tasks,12,8,3,0.000846,14200
openmp_partial,12,12,3,0.000650,14200
openmp_tasks,12,12,3,0.001191,14200
openmp_partial,12,16,3,0.000963,14200
openmp_tasks,12,16,3,0.001592,14200
openmp_partial,12,24,3,0.008328,14200
openmp_tasks,12,24,3,0.005205,14200
mpi_partial,12,2,3,0.001754,14200
mpi_partial,12,4,3,0.000918,14200
mpi_partial,12,8,3,0.000534,14200
mpi_partial,12,12,3,0.000360,14200
mpi_partial,12,16,3,0.000308,14200
mpi_partial,12,24,3,0.000234,14200
hybrid_partial,12,24,3,0.001941,14200
hybrid_partial,12,24,3,0.001077,14200
hybrid_partial,12,24,3,0.000737,14200
hybrid_partial,12,24,3,0.000715,14200
sequential,13,1,0,0.018279,73712
openmp_partial,13,2,3,0.009671,73712
openmp_tasks,13,2,3,0.009965,73712
openmp_partial,13,4,3,0.005150,73712
openmp_tasks,13,4,3,0.005150,73712
openmp_partial,13,8,3,0.002840,73712
openmp_tasks,13,8,3,0.003051,73712
openmp_partial,13,12,3,0.002235,73712
openmp_tasks,13,12,3,0.002697,73712
openmp_partial,13,16,3,0.001842,73712
openmp_tasks,13,16,3,0.002342,73712
openmp_partial,13,24,3,0.007695,73712
openmp_tasks,13,24,3,0.007591,73712
mpi_partial,13,2,3,0.009856,73712
mpi_partial,13,4,3,0.004950,73712
mpi_partial,13,8,3,0.003084,73712
mpi_partial,13,12,3,0.002079,73712
mpi_partial,13,16,3,0.001517,73712
mpi_partial,13,24,3,0.001310,73712
hybrid_partial,13,24,3,0.009968,73712
hybrid_partial,13,24,3,0.004884,73712
hybrid_partial,13,24,3,0.003637,73712
hybrid_partial,13,24,3,0.003051,73712
sequential,14,1,0,0.108042,365596
openmp_partial,14,2,3,0.055724,365596
openmp_tasks,14,2,3,0.054143,365596
openmp_partial,14,4,3,0.029525,365596
openmp_tasks,14,4,3,0.027692,365596
openmp_partial,14,8,3,0.015286,365596
openmp_tasks,14,8,3,0.015826,365596
openmp_partial,14,12,3,0.010636,365596
openmp_tasks,14,12,3,0.010902,365596
openmp_partial,14,16,3,0.008585,365596
openmp_tasks,14,16,3,0.009745,365596
openmp_partial,14,24,3,0.015593,365596
openmp_tasks,14,24,3,0.015988,365596
mpi_partial,14,2,3,0.055168,365596
mpi_partial,14,4,3,0.029025,365596
mpi_partial,14,8,3,0.015330,365596
mpi_partial,14,12,3,0.011382,365596
mpi_partial,14,16,3,0.008587,365596
mpi_partial,14,24,3,0.008611,365596
hybrid_partial,14,24,3,0.055522,365596
hybrid_partial,14,24,3,0.028750,365596
hybrid_partial,14,24,3,0.019420,365596
hybrid_partial,14,24,3,0.014467,365596
sequential,15,1,0,0.682685,2279184
openmp_partial,15,2,3,0.348078,2279184
openmp_tasks,15,2,3,0.370059,2279184
openmp_partial,15,4,3,0.173972,2279184
openmp_tasks,15,4,3,0.178294,2279184
openmp_partial,15,8,3,0.089030,2279184
openmp_tasks,15,8,3,0.092439,2279184
openmp_partial,15,12,3,0.063053,2279184
openmp_tasks,15,12,3,0.064279,2279184
openmp_partial,15,16,3,0.049326,2279184
openmp_tasks,15,16,3,0.052790,2279184
openmp_partial,15,24,3,0.041169,2279184
openmp_tasks,15,24,3,0.043587,2279184
mpi_partial,15,2,3,0.347640,2279184
mpi_partial,15,4,3,0.177161,2279184
mpi_partial,15,8,3,0.090377,2279184
mpi_partial,15,12,3,0.069777,2279184
mpi_partial,15,16,3,0.053059,2279184
mpi_partial,15,24,3,0.038937,2279184
hybrid_partial,15,24,3,0.351361,2279184
hybrid_partial,15,24,3,0.177387,2279184
hybrid_partial,15,24,3,0.119149,2279184
hybrid_partial,15,24,3,0.091144,2279184
sequential,16,1,0,4.595018,14772512
openmp_partial,16,2,3,2.336021,14772512
openmp_tasks,16,2,3,2.329201,14772512
openmp_partial,16,4,3,1.174267,14772512
openmp_tasks,16,4,3,1.207281,14772512
openmp_partial,16,8,3,0.597834,14772512
openmp_tasks,16,8,3,0.612466,14772512
openmp_partial,16,12,3,0.422582,14772512
openmp_tasks,16,12,3,0.430301,14772512
openmp_partial,16,16,3,0.324326,14772512
openmp_tasks,16,16,3,0.343826,14772512
